,Nav_GPS1_UTC,Nav_GPS1_Latitude,Nav_GPS1_Longitude
0,2023-02-01 00:00:15,14.469,67.95
1,2023-02-01 00:01:15,14.466,67.953
2,2023-02-01 00:02:14,14.462,67.955
3,2023-02-01 00:03:15,14.459,67.958
4,2023-02-01 00:04:15,14.456,67.961
5,2023-02-01 00:05:14,14.453,67.963
6,2023-02-01 00:06:14,14.45,67.966
7,2023-02-01 00:07:15,14.446,67.969
8,2023-02-01 00:08:15,14.443,67.971
9,2023-02-01 00:09:14,14.44,67.974
10,2023-02-01 00:10:14,14.437,67.977
11,2023-02-01 00:11:14,14.434,67.98
12,2023-02-01 00:12:14,14.431,67.982
13,2023-02-01 00:13:15,14.428,67.985
14,2023-02-01 00:14:14,14.425,67.988
15,2023-02-01 00:15:15,14.422,67.991
16,2023-02-01 00:16:15,14.419,67.994
17,2023-02-01 00:17:14,14.416,67.996
18,2023-02-01 00:18:15,14.412,67.999
19,2023-02-01 00:19:15,14.409,68.002
20,2023-02-01 00:20:15,14.406,68.005
21,2023-02-01 00:21:14,14.403,68.007
22,2023-02-01 00:22:14,14.4,68.01
23,2023-02-01 00:23:14,14.397,68.013
24,2023-02-01 00:24:15,14.394,68.016
25,2023-02-01 00:25:15,14.391,68.018
26,2023-02-01 00:26:15,14.388,68.021
27,2023-02-01 00:27:15,14.385,68.024
28,2023-02-01 00:28:14,14.382,68.027
29,2023-02-01 00:29:15,14.379,68.03
30,2023-02-01 00:30:00,14.376,68.032
31,2023-02-01 00:31:15,14.373,68.035
32,2023-02-01 00:32:15,14.37,68.038
33,2023-02-01 00:33:15,14.366,68.041
34,2023-02-01 00:34:15,14.363,68.043
35,2023-02-01 00:35:14,14.36,68.046
36,2023-02-01 00:36:14,14.357,68.049
37,2023-02-01 00:37:14,14.354,68.052
38,2023-02-01 00:38:15,14.351,68.055
39,2023-02-01 00:39:15,14.348,68.057
40,2023-02-01 00:40:15,14.345,68.06
41,2023-02-01 00:41:15,14.342,68.063
42,2023-02-01 00:42:15,14.338,68.066
43,2023-02-01 00:43:14,14.335,68.068
44,2023-02-01 00:44:14,14.332,68.071
45,2023-02-01 00:45:14,14.329,68.074
46,2023-02-01 00:46:15,14.326,68.077
47,2023-02-01 00:47:15,14.323,68.08
48,2023-02-01 00:48:14,14.32,68.082
49,2023-02-01 00:49:14,14.317,68.085
50,2023-02-01 00:50:15,14.314,68.088
51,2023-02-01 00:51:15,14.311,68.091
52,2023-02-01 00:52:14,14.308,68.093
53,2023-02-01 00:53:15,14.305,68.096
54,2023-02-01 00:54:14,14.302,68.099
55,2023-02-01 00:55:14,14.299,68.102
56,2023-02-01 00:56:15,14.295,68.105
57,2023-02-01 00:57:15,14.292,68.107
58,2023-02-01 00:58:15,14.289,68.11
59,2023-02-01 00:59:15,14.286,68.113
60,2023-02-01 01:00:14,14.283,68.116
61,2023-02-01 01:01:15,14.28,68.118
62,2023-02-01 01:02:15,14.277,68.121
63,2023-02-01 01:03:14,14.274,68.124
64,2023-02-01 01:04:15,14.271,68.127
65,2023-02-01 01:05:14,14.268,68.13
66,2023-02-01 01:06:14,14.265,68.132
67,2023-02-01 01:07:15,14.262,68.135
68,2023-02-01 01:08:15,14.259,68.138
69,2023-02-01 01:09:15,14.256,68.141
70,2023-02-01 01:10:14,14.252,68.144
71,2023-02-01 01:11:14,14.249,68.147
72,2023-02-01 01:12:15,14.246,68.149
73,2023-02-01 01:13:15,14.243,68.152
74,2023-02-01 01:14:14,14.24,68.155
75,2023-02-01 01:15:14,14.237,68.158
76,2023-02-01 01:16:15,14.234,68.161
77,2023-02-01 01:17:14,14.231,68.164
78,2023-02-01 01:18:14,14.228,68.166
79,2023-02-01 01:19:15,14.224,68.169
80,2023-02-01 01:20:14,14.221,68.172
81,2023-02-01 01:21:14,14.218,68.175
82,2023-02-01 01:22:15,14.215,68.178
83,2023-02-01 01:23:15,14.212,68.181
84,2023-02-01 01:24:14,14.209,68.183
85,2023-02-01 01:25:15,14.206,68.186
86,2023-02-01 01:26:14,14.203,68.189
87,2023-02-01 01:27:14,14.2,68.192
88,2023-02-01 01:28:15,14.196,68.195
89,2023-02-01 01:29:14,14.193,68.198
90,2023-02-01 01:30:14,14.19,68.2
91,2023-02-01 01:31:14,14.187,68.203
92,2023-02-01 01:32:15,14.184,68.206
93,2023-02-01 01:33:15,14.181,68.209
94,2023-02-01 01:34:14,14.178,68.212
95,2023-02-01 01:35:15,14.174,68.214
96,2023-02-01 01:36:14,14.171,68.217
